Date/Time,CPU Usage %,Memory Available
2022-04-03 15:00:21.977125,7.6,18.85533524
2022-04-03 15:00:32.390461,7.5,18.85231018
2022-04-03 15:00:42.900475,8.3,18.84542847
2022-04-03 15:00:53.360745,6.3,18.97345734
2022-04-03 15:01:03.767096,14.5,18.66344833
2022-04-03 15:01:14.270437,13.4,18.33797073
2022-04-03 15:01:24.680428,19.1,18.15991592
2022-04-03 15:01:35.133777,19.9,18.11895752
2022-04-03 15:01:45.837104,15,17.98442841
2022-04-03 15:01:56.243774,18.7,18.9172821
2022-04-03 15:02:06.660439,18.7,18.70505524
2022-04-03 15:02:17.127094,12.2,18.75158691
2022-04-03 15:02:27.557098,10.8,18.76866913
2022-04-03 15:02:37.999794,11.2,18.7739296
2022-04-03 15:02:48.465322,10.5,18.78424835
2022-04-03 15:02:58.927093,11.9,18.78306198
2022-04-03 15:03:09.377097,11.3,18.76812363
2022-04-03 15:03:19.900443,10.7,18.77671432
2022-04-03 15:03:30.303772,10.7,18.77251434
2022-04-03 15:03:40.717086,11.1,18.78330612
2022-04-03 15:03:51.210432,11.7,18.79421234
2022-04-03 15:04:01.600420,12,18.81147766
2022-04-03 15:04:12.077079,10.9,18.81311035
2022-04-03 15:04:22.517082,11.6,18.78292465
2022-04-03 15:04:32.963759,11.2,18.81163788
2022-04-03 15:04:43.447743,11.6,18.78927994
2022-04-03 15:04:53.890419,10,18.77494431
2022-04-03 15:05:04.337085,10.4,18.78152466
2022-04-03 15:05:14.850413,9.4,18.7718544
2022-04-03 15:05:25.343010,9,18.77564621
2022-04-03 15:05:35.813744,9.4,18.77111816
2022-04-03 15:05:46.322199,9.6,18.7749176
2022-04-03 15:05:56.803754,9.3,18.76742172
2022-04-03 15:06:07.268152,9.5,18.77018356
2022-04-03 15:06:17.743738,9.3,18.77054214
2022-04-03 15:06:28.177074,9.3,18.76347733
2022-04-03 15:06:38.663735,9,18.75239182
2022-04-03 15:06:49.293748,9,18.74212265
2022-04-03 15:06:59.765497,8.2,18.73266983
2022-04-03 15:07:10.230224,3.9,18.74856186
2022-04-03 15:07:20.747069,4,18.87015915
2022-04-03 15:07:31.172218,4.9,18.85692596
2022-04-03 15:07:41.583823,5.7,18.85930634
2022-04-03 15:07:52.021580,4.6,18.85677719
2022-04-03 15:08:02.490412,5.6,18.84901428
2022-04-03 15:08:12.903733,10.5,18.75439072
2022-04-03 15:08:23.347056,12.5,18.72566223
2022-04-03 15:08:33.750397,22.3,18.63165283
2022-04-03 15:08:44.200385,23.7,18.75724411
2022-04-03 15:08:54.587058,21.7,18.79371643
2022-04-03 15:09:05.043730,20.5,18.74963379
2022-04-03 15:09:15.500388,25,18.95487595
2022-04-03 15:09:25.920933,13.5,18.97012329
2022-04-03 15:09:36.353722,12.8,18.99243546
2022-04-03 15:09:46.767048,10.6,18.99876404
2022-04-03 15:09:57.180384,12.5,18.97258759
2022-04-03 15:10:07.585825,16.9,19.44794464
2022-04-03 15:10:18.030378,12.5,19.48289871
2022-04-03 15:10:28.470377,12.8,19.4767189
2022-04-03 15:10:38.897038,18.1,19.36832428
2022-04-03 15:10:49.433723,13.9,19.38192368
2022-04-03 15:10:59.873719,19.4,19.38119507
2022-04-03 15:11:10.294672,18.5,19.43199158
2022-04-03 15:11:20.746893,11.2,19.42921829
2022-04-03 15:11:31.179721,11.4,19.41340256
2022-04-03 15:11:41.620368,20.1,19.39051437
2022-04-03 15:11:52.243714,13.6,19.36174774
2022-04-03 15:12:02.687037,13.7,19.35703659
2022-04-03 15:12:13.137040,13.1,19.340065
2022-04-03 15:12:23.553694,12,19.35276794
2022-04-03 15:12:33.980369,12.3,19.35847855
2022-04-03 15:12:44.500362,13.4,19.3358345
2022-04-03 15:12:54.930363,15.4,19.33143616
2022-04-03 15:13:05.447497,21.9,19.24956894
2022-04-03 15:13:15.900360,12,19.30809021
2022-04-03 15:13:26.330361,18.5,19.12789917
2022-04-03 15:13:36.779095,16,19.32271576
2022-04-03 15:13:47.253686,8.8,19.3925705
2022-04-03 15:13:57.790362,15.5,19.27658463
2022-04-03 15:14:08.313693,17.7,19.28056717
2022-04-03 15:14:18.760372,12.6,19.32318878
2022-04-03 15:14:29.290865,13.1,19.36229324
2022-04-03 15:14:39.710351,11.1,19.34224319
2022-04-03 15:14:50.173683,12.1,19.34706497
2022-04-03 15:15:00.593694,12.1,19.34012222
2022-04-03 15:15:11.040347,10.8,19.34920502
2022-04-03 15:15:21.480348,11.6,19.34667969
2022-04-03 15:15:31.917021,10.8,19.35504532
2022-04-03 15:15:42.315325,13.5,19.34631348
2022-04-03 15:15:52.787022,12.4,19.35379791
2022-04-03 15:16:03.228809,12.9,19.36123657
2022-04-03 15:16:13.683938,12.5,19.36158752
2022-04-03 15:16:24.127011,12.2,19.36904907
2022-04-03 15:16:34.583675,11,19.31536102
2022-04-03 15:16:45.073686,12.2,19.28608704
2022-04-03 15:16:55.740333,10.8,19.29420471
2022-04-03 15:17:06.263685,11.3,19.28961945
2022-04-03 15:17:16.820338,12.6,19.28654861
2022-04-03 15:17:27.233836,12.3,19.2709465
2022-04-03 15:17:37.663677,11.8,19.25618362
2022-04-03 15:17:48.087006,11.3,19.27375793
2022-04-03 15:17:58.495157,12.3,19.27671814
2022-04-03 15:18:08.903221,12,19.28715134
2022-04-03 15:18:19.390345,11.3,19.29203033
2022-04-03 15:18:29.866014,11.4,19.28257751
2022-04-03 15:18:40.283668,12.1,19.18157959
2022-04-03 15:18:50.733678,9.8,19.19049454
2022-04-03 15:19:01.188173,18.1,18.84873581
2022-04-03 15:19:11.630330,13.1,18.8643074
2022-04-03 15:19:22.060329,13.5,18.89091873
2022-04-03 15:19:32.487002,11.4,18.87268066
2022-04-03 15:19:42.983647,15.6,18.85432434
2022-04-03 15:19:53.443052,12.8,18.88640213
2022-04-03 15:20:03.977001,15.7,18.82841873
2022-04-03 15:20:14.416995,10.4,18.85453796
2022-04-03 15:20:24.870316,16.8,18.91633987
2022-04-03 15:20:35.294598,10.9,18.99202347
2022-04-03 15:20:45.726983,20,18.78807068
